Machine_ID,Machine_Status,Queue_Length,Processing_Time,Worker_Available,Shift,Material_Type,Temperature,Previous_Wait_Time,Current_Wait_Time,Next_Machine
1,0,13,5.0,1,1,0,38.0,6.0,3.0,2
0,0,17,8.0,1,0,2,30.0,2.0,10.0,2
1,0,12,14.0,1,0,1,57.0,1.0,23.0,0
2,0,24,6.0,1,1,0,70.0,10.0,5.0,0
1,0,7,10.0,1,1,0,65.0,8.0,8.0,1
2,0,7,3.0,1,2,2,33.0,16.0,6.0,0
0,0,9,10.0,1,0,0,74.0,14.0,20.0,3
3,0,16,13.0,1,1,2,62.0,16.0,5.0,2
3,2,5,3.0,1,0,0,49.0,14.0,19.0,2
1,0,14,13.0,0,2,1,38.0,7.0,23.0,2
3,0,14,3.0,1,1,1,35.0,18.0,4.0,0
0,0,24,9.0,1,0,0,54.0,9.0,24.0,0
3,2,15,3.0,1,1,2,56.0,4.0,5.0,0
1,0,7,11.0,1,2,0,35.0,16.0,15.0,3
0,0,18,10.0,1,2,2,50.0,11.0,15.0,0
2,0,19,3.0,1,2,0,56.0,9.0,18.0,0
1,0,14,4.0,1,2,1,43.0,17.0,10.0,0
2,1,2,4.0,1,1,2,62.0,11.0,20.0,3
0,0,5,4.0,0,1,1,35.0,3.0,4.0,0
1,0,24,8.0,1,0,1,35.0,11.0,16.0,1
1,2,7,6.0,0,0,1,72.0,8.0,22.0,0
0,0,15,10.0,1,1,0,60.0,10.0,2.0,1
3,0,14,3.0,1,1,2,69.0,6.0,20.0,3
1,0,12,12.0,1,0,1,32.0,17.0,5.0,1
1,2,19,6.0,1,1,2,64.0,6.0,15.0,3
2,2,14,12.0,1,2,2,44.0,7.0,19.0,0
3,0,17,13.0,1,2,1,49.0,13.0,13.0,0
2,0,12,7.0,0,2,0,41.0,6.0,7.0,1
2,0,23,11.0,1,0,1,65.0,3.0,11.0,0
3,0,7,7.0,1,1,1,59.0,13.0,5.0,1
3,0,13,13.0,1,0,2,41.0,10.0,17.0,3
0,1,10,5.0,1,0,0,71.0,4.0,2.0,0
3,0,5,13.0,1,1,2,47.0,5.0,4.0,0
1,0,23,6.0,1,0,0,49.0,19.0,8.0,0
3,0,24,12.0,1,2,1,57.0,18.0,4.0,2
0,0,0,9.0,1,1,0,60.0,7.0,23.0,2
0,0,24,3.0,1,2,2,32.0,1.0,16.0,1
0,0,1,13.0,1,2,1,45.0,17.0,7.0,2
3,0,12,8.0,1,1,0,73.0,18.0,17.0,0
3,1,0,10.0,1,2,0,34.0,5.0,18.0,2
2,0,23,3.0,0,2,2,56.0,6.0,3.0,1
2,0,23,10.0,1,2,0,74.0,10.0,11.0,2
1,1,3,9.0,1,1,1,36.0,19.0,12.0,3
2,1,23,3.0,1,1,0,74.0,10.0,7.0,3
1,1,22,11.0,1,1,2,68.0,6.0,19.0,2
0,0,1,13.0,1,0,0,34.0,10.0,16.0,3
2,2,20,5.0,0,2,1,34.0,10.0,17.0,3
3,1,19,4.0,1,0,1,70.0,12.0,14.0,2
2,2,15,9.0,1,0,0,33.0,4.0,17.0,3
1,1,2,13.0,1,2,0,73.0,13.0,3.0,1
2,2,16,5.0,1,1,1,74.0,10.0,21.0,1
0,0,4,3.0,1,0,2,67.0,16.0,13.0,0
3,0,7,12.0,1,1,1,54.0,19.0,15.0,1
1,0,11,5.0,1,1,0,31.0,6.0,9.0,0
3,0,24,8.0,1,2,0,28.0,9.0,7.0,0
3,2,22,5.0,1,0,2,33.0,14.0,15.0,2
1,0,11,7.0,1,0,1,58.0,10.0,16.0,3
3,0,0,11.0,1,1,1,28.0,8.0,21.0,2
3,1,0,9.0,1,2,2,32.0,3.0,4.0,0
2,1,14,4.0,0,0,1,46.0,17.0,8.0,2
3,2,16,3.0,1,1,2,32.0,19.0,17.0,3
3,0,1,9.0,1,1,1,32.0,3.0,24.0,3
3,0,16,6.0,1,1,2,58.0,14.0,3.0,3
3,0,19,13.0,1,2,2,71.0,6.0,18.0,0
1,2,8,9.0,1,2,2,34.0,19.0,12.0,2
0,0,11,8.0,1,1,0,42.0,18.0,4.0,2
2,0,3,9.0,1,1,0,40.0,12.0,23.0,0
3,0,12,6.0,1,2,0,39.0,15.0,24.0,0
3,0,3,5.0,1,1,1,46.0,6.0,9.0,1
1,0,6,14.0,1,1,2,40.0,12.0,23.0,2
0,2,13,7.0,1,2,1,54.0,19.0,24.0,3
3,0,8,5.0,1,1,1,65.0,7.0,22.0,2
1,2,22,5.0,1,1,2,60.0,10.0,20.0,1
2,1,0,6.0,1,1,0,33.0,18.0,19.0,3
2,1,0,10.0,0,2,1,40.0,2.0,8.0,1
3,2,19,4.0,1,2,1,40.0,13.0,17.0,0
3,0,3,6.0,1,2,1,40.0,15.0,15.0,0
0,0,0,13.0,1,0,0,47.0,4.0,9.0,2
0,0,21,5.0,1,0,2,63.0,7.0,14.0,0
3,0,9,9.0,1,0,2,64.0,3.0,4.0,0
1,0,1,4.0,1,0,1,72.0,16.0,3.0,2
0,1,20,3.0,1,2,2,36.0,9.0,14.0,1
3,2,23,12.0,1,1,0,44.0,17.0,23.0,1
0,2,14,3.0,1,2,2,62.0,8.0,4.0,3
3,1,2,8.0,1,0,1,45.0,18.0,22.0,3
2,2,24,5.0,1,2,1,52.0,13.0,2.0,1
3,2,22,9.0,1,1,2,42.0,2.0,3.0,0
2,0,8,10.0,0,0,1,50.0,1.0,11.0,3
