Product_ID,Machine_ID,Machine_Status,Queue_Length,Processing_Time,Worker_Available,Shift,Material_Type,Temperature,Previous_Wait_Time,Current_Wait_Time,Next_Machine,Recommended_Machine,Expected_Waiting_Time,Worker_Status,Machine_Load,Shift_Code,Queue_Category,Temperature_Level,Bottleneck_Flag,Delay_Level
P0328,Lathe_M1,Busy,6,33,No,Morning,Bearing_Steel_Chrome,39,12,12,Polishing_M3,Lathe_M1,29,0,1,0,Medium,Normal,0,High
P0347,Lathe_M1,Maintenance,20,43,Yes,Morning,Bearing_Steel_Chrome,82,20,27,Polishing_M3,Grinding_M2,11,1,2,0,High,Hot,1,Medium
P0259,Lathe_M1,Idle,10,28,No,Morning,Bearing_Stainless,77,5,44,Assembly_M4,Lathe_M1,24,0,0,0,Medium,Hot,0,High
P0389,Grinding_M2,Maintenance,2,26,No,Evening,Bearing_Steel_Chrome,77,3,28,Polishing_M3,Polishing_M3,12,0,2,,Low,Hot,0,Medium
P0053,Lathe_M1,Maintenance,5,6,Yes,Evening,Bearing_Stainless,84,22,37,Assembly_M4,Lathe_M1,12,1,2,,Medium,Hot,0,Medium
P0374,Assembly_M4,Busy,21,29,No,Morning,Ceramic_Hybrid,73,28,46,Assembly_M4,Polishing_M3,28,0,1,0,High,Hot,1,High
P0296,Grinding_M2,Busy,15,19,Yes,Night,Bearing_Steel_Chrome,71,20,48,Assembly_M4,Lathe_M1,23,1,1,2,High,Hot,1,High
P0438,Grinding_M2,Busy,19,7,No,Evening,Bearing_Stainless,61,20,11,Assembly_M4,Grinding_M2,21,0,1,,High,Warm,1,High
P0190,Polishing_M3,Idle,8,43,No,Night,Ceramic_Hybrid,42,5,29,Grinding_M2,Grinding_M2,28,0,0,2,Medium,Normal,0,High
P0274,Grinding_M2,Idle,13,13,No,Evening,Bearing_Stainless,50,22,6,Polishing_M3,Polishing_M3,20,0,0,,Medium,Warm,0,High
P0432,Lathe_M1,Idle,14,11,Yes,Evening,Bearing_Stainless,68,9,51,Assembly_M4,Lathe_M1,3,1,0,,Medium,Warm,0,Low
P0109,Polishing_M3,Idle,13,21,No,Evening,Ceramic_Hybrid,60,19,44,Packaging_Line,Grinding_M2,4,0,0,,Medium,Warm,0,Low
P0136,Grinding_M2,Idle,1,10,No,Night,Ceramic_Hybrid,78,11,8,Packaging_Line,Assembly_M4,22,0,0,2,Low,Hot,0,High
P0186,Grinding_M2,Idle,17,30,No,Morning,Bearing_Steel_Chrome,68,3,14,Grinding_M2,Grinding_M2,4,0,0,0,High,Warm,1,Low
P0322,Grinding_M2,Maintenance,13,35,Yes,Evening,Bearing_Stainless,72,16,12,Packaging_Line,Polishing_M3,14,1,2,,Medium,Hot,0,Medium
P0498,Lathe_M1,Busy,22,44,No,Night,Bearing_Stainless,45,17,49,Grinding_M2,Polishing_M3,18,0,1,2,High,Normal,1,Medium
P0223,Grinding_M2,Maintenance,14,28,Yes,Night,Ceramic_Hybrid,50,26,49,Assembly_M4,Grinding_M2,9,1,2,2,Medium,Warm,0,Low
P0260,Lathe_M1,Overloaded,14,5,Yes,Morning,Bearing_Stainless,49,8,13,Polishing_M3,Lathe_M1,24,1,3,0,Medium,Normal,0,High
P0307,Polishing_M3,Maintenance,0,12,Yes,Morning,Bearing_Stainless,48,12,55,Assembly_M4,Grinding_M2,17,1,2,0,Low,Normal,0,Medium
P0030,Grinding_M2,Busy,7,39,Yes,Night,Bearing_Stainless,59,2,9,Grinding_M2,Grinding_M2,10,1,1,2,Medium,Warm,0,Medium
P0066,Assembly_M4,Idle,6,32,No,Night,Ceramic_Hybrid,31,10,12,Packaging_Line,Grinding_M2,12,0,0,2,Medium,Normal,0,Medium
P0476,Grinding_M2,Overloaded,1,37,No,Night,Ceramic_Hybrid,72,24,27,Assembly_M4,Assembly_M4,24,0,3,2,Low,Hot,0,High
P0461,Assembly_M4,Busy,4,39,Yes,Morning,Bearing_Steel_Chrome,68,9,26,Assembly_M4,Lathe_M1,27,1,1,0,Low,Warm,0,High
P0302,Grinding_M2,Idle,2,5,Yes,Morning,Ceramic_Hybrid,59,6,51,Grinding_M2,Grinding_M2,14,1,0,0,Low,Warm,0,Medium
P0035,Lathe_M1,Overloaded,2,5,Yes,Night,Bearing_Steel_Chrome,29,27,59,Assembly_M4,Assembly_M4,14,1,3,2,Low,Normal,0,Medium
P0110,Grinding_M2,Maintenance,6,31,Yes,Evening,Bearing_Stainless,33,16,19,Polishing_M3,Lathe_M1,26,1,2,,Medium,Normal,0,High
P0050,Assembly_M4,Overloaded,9,17,No,Evening,Bearing_Stainless,75,8,53,Grinding_M2,Lathe_M1,20,0,3,,Medium,Hot,0,High
P0032,Assembly_M4,Overloaded,3,34,Yes,Morning,Bearing_Steel_Chrome,61,24,43,Polishing_M3,Assembly_M4,13,1,3,0,Low,Warm,0,Medium
P0072,Assembly_M4,Idle,14,33,No,Evening,Bearing_Steel_Chrome,60,14,36,Grinding_M2,Assembly_M4,7,0,0,,Medium,Warm,0,Low
P0414,Lathe_M1,Busy,18,26,Yes,Morning,Bearing_Steel_Chrome,52,3,46,Polishing_M3,Assembly_M4,13,1,1,0,High,Warm,1,Medium
P0249,Assembly_M4,Idle,24,10,No,Morning,Bearing_Steel_Chrome,52,29,48,Packaging_Line,Lathe_M1,12,0,0,0,High,Warm,1,Medium
P0200,Polishing_M3,Maintenance,19,34,No,Evening,Ceramic_Hybrid,35,27,59,Packaging_Line,Grinding_M2,28,0,2,,High,Normal,1,High
P0098,Polishing_M3,Idle,24,43,Yes,Night,Ceramic_Hybrid,57,2,31,Grinding_M2,Polishing_M3,25,1,0,2,High,Warm,1,High
P0030,Lathe_M1,Maintenance,19,17,Yes,Morning,Ceramic_Hybrid,65,4,43,Grinding_M2,Grinding_M2,6,1,2,0,High,Warm,1,Low
P0036,Lathe_M1,Idle,7,31,No,Morning,Ceramic_Hybrid,33,6,37,Polishing_M3,Lathe_M1,19,0,0,0,Medium,Normal,0,Medium
P0318,Lathe_M1,Maintenance,9,28,No,Evening,Bearing_Steel_Chrome,39,28,58,Assembly_M4,Grinding_M2,24,0,2,,Medium,Normal,0,High
P0136,Assembly_M4,Idle,8,16,No,Evening,Bearing_Stainless,63,3,7,Grinding_M2,Lathe_M1,17,0,0,,Medium,Warm,0,Medium
P0235,Lathe_M1,Busy,4,21,Yes,Night,Bearing_Stainless,83,18,6,Polishing_M3,Polishing_M3,2,1,1,2,Low,Hot,0,Low
P0452,Lathe_M1,Idle,21,27,No,Evening,Bearing_Steel_Chrome,61,2,5,Packaging_Line,Polishing_M3,19,0,0,,High,Warm,1,Medium
P0314,Lathe_M1,Overloaded,1,30,Yes,Morning,Bearing_Stainless,56,7,36,Grinding_M2,Lathe_M1,23,1,3,0,Low,Warm,0,High
P0381,Grinding_M2,Overloaded,3,15,No,Night,Bearing_Steel_Chrome,80,28,21,Assembly_M4,Grinding_M2,6,0,3,2,Low,Hot,0,Low
P0352,Polishing_M3,Maintenance,23,9,No,Morning,Bearing_Steel_Chrome,76,3,10,Packaging_Line,Polishing_M3,22,0,2,0,High,Hot,1,High
P0023,Lathe_M1,Overloaded,10,20,Yes,Night,Bearing_Stainless,57,10,10,Polishing_M3,Assembly_M4,16,1,3,2,Medium,Warm,0,Medium
P0283,Assembly_M4,Busy,2,24,Yes,Morning,Ceramic_Hybrid,84,28,40,Polishing_M3,Lathe_M1,19,1,1,0,Low,Hot,0,Medium
P0428,Polishing_M3,Idle,2,23,No,Morning,Bearing_Steel_Chrome,44,8,56,Assembly_M4,Polishing_M3,9,0,0,0,Low,Normal,0,Low
P0461,Lathe_M1,Overloaded,0,44,Yes,Night,Bearing_Steel_Chrome,63,19,44,Grinding_M2,Polishing_M3,1,1,3,2,Low,Warm,0,Low
P0400,Assembly_M4,Idle,10,32,Yes,Morning,Bearing_Steel_Chrome,81,26,54,Packaging_Line,Lathe_M1,23,1,0,0,Medium,Hot,0,High
P0092,Polishing_M3,Maintenance,9,39,Yes,Evening,Bearing_Steel_Chrome,31,29,20,Grinding_M2,Assembly_M4,26,1,2,,Medium,Normal,0,High
P0447,Lathe_M1,Maintenance,15,6,Yes,Morning,Bearing_Stainless,25,17,16,Assembly_M4,Polishing_M3,5,1,2,0,High,Normal,1,Low
P0421,Grinding_M2,Idle,4,36,Yes,Night,Bearing_Steel_Chrome,83,24,13,Packaging_Line,Polishing_M3,9,1,0,2,Low,Hot,0,Low
P0143,Lathe_M1,Overloaded,2,23,No,Night,Ceramic_Hybrid,72,17,7,Packaging_Line,Polishing_M3,20,0,3,2,Low,Hot,0,High
P0481,Lathe_M1,Busy,23,37,No,Morning,Ceramic_Hybrid,48,21,15,Assembly_M4,Lathe_M1,17,0,1,0,High,Normal,1,Medium
P0056,Assembly_M4,Overloaded,7,40,No,Evening,Ceramic_Hybrid,62,9,24,Grinding_M2,Assembly_M4,3,0,3,,Medium,Warm,0,Low
P0461,Grinding_M2,Overloaded,15,29,Yes,Night,Bearing_Stainless,59,26,33,Grinding_M2,Grinding_M2,18,1,3,2,High,Warm,1,Medium
P0187,Assembly_M4,Busy,13,22,No,Night,Bearing_Stainless,26,23,39,Grinding_M2,Polishing_M3,16,0,1,2,Medium,Normal,0,Medium
P0260,Polishing_M3,Maintenance,8,40,No,Evening,Ceramic_Hybrid,57,5,37,Assembly_M4,Grinding_M2,14,0,2,,Medium,Warm,0,Medium
P0099,Assembly_M4,Maintenance,20,24,Yes,Night,Ceramic_Hybrid,80,9,11,Assembly_M4,Assembly_M4,3,1,2,2,High,Hot,1,Low
P0281,Lathe_M1,Overloaded,16,37,No,Morning,Bearing_Stainless,72,13,55,Assembly_M4,Assembly_M4,22,0,3,0,High,Hot,1,High
P0227,Assembly_M4,Idle,22,26,No,Night,Bearing_Steel_Chrome,70,7,42,Grinding_M2,Polishing_M3,13,0,0,2,High,Hot,1,Medium
P0264,Polishing_M3,Busy,18,12,Yes,Night,Bearing_Stainless,51,28,38,Polishing_M3,Grinding_M2,21,1,1,2,High,Warm,1,High
P0076,Lathe_M1,Busy,0,32,Yes,Evening,Ceramic_Hybrid,71,2,9,Grinding_M2,Assembly_M4,28,1,1,,Low,Hot,0,High
P0213,Grinding_M2,Maintenance,15,23,No,Evening,Bearing_Steel_Chrome,28,4,53,Polishing_M3,Lathe_M1,17,0,2,,High,Normal,1,Medium
P0458,Lathe_M1,Maintenance,11,32,Yes,Morning,Ceramic_Hybrid,54,15,57,Packaging_Line,Lathe_M1,6,1,2,0,Medium,Warm,0,Low
P0286,Grinding_M2,Busy,2,41,No,Morning,Bearing_Stainless,48,18,50,Assembly_M4,Assembly_M4,21,0,1,0,Low,Normal,0,High
P0314,Assembly_M4,Maintenance,2,37,Yes,Night,Bearing_Stainless,76,22,36,Packaging_Line,Polishing_M3,23,1,2,2,Low,Hot,0,High
P0385,Grinding_M2,Overloaded,0,7,No,Night,Bearing_Steel_Chrome,42,26,46,Assembly_M4,Assembly_M4,22,0,3,2,Low,Normal,0,High
P0040,Polishing_M3,Idle,2,44,No,Evening,Bearing_Stainless,70,25,54,Grinding_M2,Grinding_M2,15,0,0,,Low,Hot,0,Medium
P0078,Grinding_M2,Maintenance,21,27,Yes,Night,Bearing_Steel_Chrome,26,28,46,Grinding_M2,Assembly_M4,2,1,2,2,High,Normal,1,Low
P0209,Polishing_M3,Maintenance,16,44,No,Morning,Bearing_Steel_Chrome,57,10,47,Packaging_Line,Assembly_M4,22,0,2,0,High,Warm,1,High
P0464,Lathe_M1,Maintenance,15,43,No,Morning,Bearing_Stainless,53,11,59,Assembly_M4,Assembly_M4,26,0,2,0,High,Warm,1,High
