Timestamp,Machine_ID,Process_Name,Temperature_C,Vibration_mm_s,Speed_RPM,Output_Units,Defects,Status
2026-08-17 19:01:32,M1,Turning,64.73,5.95,933,1,2,WARNING
2026-08-17 19:01:32,M2,Heat Treatment,71.66,0.3,0,1,0,RUNNING
2026-08-17 19:01:34,M2,Heat Treatment,74.31,0.68,0,1,0,RUNNING
2026-08-17 19:01:36,M3,Grinding & Honing,58.63,1.36,938,1,0,RUNNING
2026-08-17 19:01:39,M1,Turning,41.38,0.92,1191,1,0,RUNNING
2026-08-17 19:01:41,M5,Quality Inspection,43.3,0.28,488,1,0,RUNNING
2026-08-17 19:01:43,M6,Packaging,44.47,0.41,850,1,0,RUNNING
2026-08-17 19:01:45,M4,Assembly,62.14,0.42,699,1,0,RUNNING
2026-08-17 19:01:47,M1,Turning,40.62,1.01,1219,1,0,RUNNING
2026-08-17 19:01:49,M2,Heat Treatment,70.08,0.44,0,1,0,RUNNING
2026-08-17 19:01:51,M6,Packaging,46.65,0.48,845,1,0,RUNNING
2026-08-17 19:01:53,M4,Assembly,64.9,0.43,693,1,0,RUNNING
2026-08-17 19:01:56,M2,Heat Treatment,74.35,0.49,0,1,0,RUNNING
2026-08-17 19:01:58,M2,Heat Treatment,70.2,0.54,0,1,0,RUNNING
2026-08-18 09:10:41,M6,Packaging,63.94,5.62,504,1,4,WARNING
2026-08-18 09:10:41,M1,Turning,64.45,5.17,807,1,2,WARNING
2026-08-18 09:10:43,M5,Quality Inspection,64.12,5.62,230,1,4,WARNING
2026-08-18 09:10:45,M1,Turning,41.45,0.76,1210,1,0,RUNNING
2026-08-18 09:10:47,M1,Turning,41.55,1.14,1187,1,0,RUNNING
2026-08-18 09:10:49,M1,Turning,41.32,0.67,1181,1,0,RUNNING
2026-08-18 09:10:51,M1,Turning,42.61,1.04,1195,1,0,RUNNING
2026-08-18 09:10:53,M1,Turning,40.55,0.74,1188,1,0,RUNNING
2026-08-18 09:10:56,M3,Grinding & Honing,58.82,1.35,966,1,0,RUNNING
2026-08-18 09:25:10,M2,Heat Treatment,73.79,0.27,0,1,0,RUNNING
2026-08-18 09:25:10,M2,Heat Treatment,70.1,0.39,0,1,0,RUNNING
2026-08-18 09:25:12,M2,Heat Treatment,70.51,0.37,0,1,0,RUNNING
2026-08-18 09:25:14,M2,Heat Treatment,72.36,0.54,0,1,0,RUNNING
2026-08-18 09:25:16,M6,Packaging,45.02,0.27,856,1,0,RUNNING
2026-08-18 09:25:18,M4,Assembly,62.63,0.45,707,1,0,RUNNING
2026-08-18 09:25:21,M6,Packaging,61.13,5.74,507,1,4,WARNING
2026-08-18 09:25:23,M1,Turning,40.85,0.91,1198,1,0,RUNNING
2026-08-18 09:25:25,M3,Grinding & Honing,81.26,5.64,616,1,2,WARNING
2026-08-18 09:25:27,M2,Heat Treatment,89.78,5.37,0,1,4,WARNING
2026-08-18 09:25:29,M1,Turning,62.31,6.48,934,1,3,WARNING
2026-08-18 09:25:31,M5,Quality Inspection,46.42,0.43,492,1,0,RUNNING
2026-08-18 09:25:34,M5,Quality Inspection,46.6,0.2,502,1,0,RUNNING
2026-08-18 09:25:36,M5,Quality Inspection,46.39,0.26,513,1,0,RUNNING
2026-08-18 09:25:38,M1,Turning,40.6,0.72,1201,1,0,RUNNING
2026-08-18 09:25:40,M3,Grinding & Honing,56.73,1.46,967,1,0,RUNNING
2026-08-18 09:25:42,M1,Turning,62.85,6.62,861,1,3,WARNING
2026-08-18 09:25:44,M5,Quality Inspection,43.4,0.27,495,1,0,RUNNING
2026-08-18 09:25:46,M1,Turning,43.22,0.94,1184,1,0,RUNNING
2026-08-18 09:25:49,M6,Packaging,45.97,0.57,836,1,0,RUNNING
2026-08-18 09:25:51,M6,Packaging,47.48,0.27,850,1,0,RUNNING
2026-08-18 09:25:53,M4,Assembly,64.79,0.75,698,1,0,RUNNING
2026-08-18 09:25:55,M3,Grinding & Honing,81.81,5.01,683,1,2,WARNING
2026-08-18 09:25:57,M4,Assembly,62.78,0.39,696,1,0,RUNNING
2026-08-18 09:25:59,M5,Quality Inspection,69.06,4.92,181,1,1,WARNING
2026-08-18 09:26:01,M5,Quality Inspection,47.02,0.55,498,1,0,RUNNING
